HR_mean,SDNN,RMSSD,pNN50,LF_HF,RR_mean,RR_std,RR_min,RR_max,EMG_mean,EMG_std,EMG_energy,EMG_skew,EMG_kurtosis,EMG_rms,EMG_zero_crossings,GSR_foot_mean,GSR_foot_std,GSR_foot_peaks,GSR_foot_slope,GSR_hand_mean,GSR_hand_std,GSR_hand_peaks,GSR_hand_slope,Resp_rate,Resp_std,Resp_power,Resp_peak_count,Resp_prominence,label
41.6221985058698,1009.4160242730305,1211.4743283739767,0.9130434782608695,1.8714802381899518,1.4415384615384617,1.0094160242730306,0.62,7.16,0.05903500094489427,0.048573448577450606,175.31152045144282,13.605504779852913,322.26138753404416,0.0764442106923829,6,8.288408334628562,1.0608595139660657,12,-5.161957326869573e-05,5.213624720459591,0.6108026066941848,14,-3.532633082769946e-05,13.741240813536148,2.2489856429879187,40859.09677066764,68,2.7829051106377447,medium
48.968899039430376,807.88159099881,1068.6312400789745,0.9173553719008265,1.5968920176495345,1.2252674897119342,0.80788159099881,0.63,9.36,0.06431824842951091,0.10005017494091281,424.2796061111614,15.560484886023662,324.3013901577297,0.1189228890375554,14,6.274516425931963,0.4928849145954236,11,-5.160456811571308e-05,4.458545567086367,0.28284602134271875,15,-1.6497134530950793e-05,12.960740613749358,1.1080511606661334,50910.711331474486,64,2.5427144296376003,medium
44.111695669769325,833.8734439117488,1153.9844818418474,0.9170506912442397,1.6434696500660644,1.360183486238532,0.8338734439117489,0.6,6.2,0.06054231635159035,0.06961690516099106,255.3117922831019,11.064586788403062,146.60648588256393,0.09225179172299798,4,4.950477471123016,0.3098681397518138,5,-3.938291939295112e-05,3.528829161079493,0.24474841810613565,5,-2.843553188232947e-05,12.591165542865005,0.8509389347537958,35809.627858687534,62,2.8386487296943135,medium
25.94529364440869,2304.8809951185235,2887.626755875835,0.9609375,3.314128312377584,2.3125581395348838,2.3048809951185234,0.62,13.87,0.24168299555311565,0.49220193130130924,8922.10297248641,5.351590155669459,72.17670165538311,0.5453470751880986,50,8.932003743032077,3.680328514924621,41,0.0002655378495392637,6.83151095012589,3.1632139393552006,45,0.00018279322065500617,16.55506578283253,1.2525233365118755,79804.85578878081,83,2.6434239307388765,medium
41.09313100114147,996.6502671921552,1393.5000410950906,0.9310344827586207,1.8448279719465022,1.4600980392156864,0.9966502671921552,0.63,6.45,0.12378876000428203,0.20392444320780959,1705.9314959200683,7.630260716260191,89.71877580334598,0.23846254044888393,24,10.70749557674326,0.8745737752017343,33,-3.598966064135851e-05,7.221859428151013,0.804619217132986,30,-4.012704650166231e-05,16.979415827241183,0.6991198203760427,61910.29829034615,85,2.724771633509403,medium
39.363455909564976,1007.3365927915341,1351.8322808188589,0.9175257731958762,1.686498889255181,1.5242564102564105,1.007336592791534,0.63,5.29,0.24734991066848752,0.40072697324969786,6515.260393094928,3.3743946950868025,114.45425229949717,0.466020757516763,196,11.806005397208367,0.9988329382250519,49,6.201349747596078e-05,8.015502299248428,1.1114815514135874,41,8.105765049836248e-05,17.34516886032038,1.5263899831376115,71814.2502928754,86,2.703502860649534,medium
40.514403990363405,943.5566164289552,1233.8573825219996,0.9545454545454546,1.5485245334793971,1.480954773869347,0.9435566164289552,0.62,5.81,0.3039346388715392,0.5602401586407886,11534.53368014529,1.9651379924802186,88.17049272378415,0.6200681059406644,274,12.840091277618582,0.8349782205778765,53,2.830187909892749e-05,7.847582861868938,1.1496003530888144,45,-4.139186860929722e-05,19.039819838263902,0.7897246366514752,70000.19063043011,94,2.6157710340304074,medium
36.008851337759005,1518.7822087602835,2092.9101829051015,0.9382022471910112,1.6947800008769556,1.6662569832402234,1.5187822087602836,0.63,9.68,0.24910649809766244,0.6488081690150543,13683.651079292047,-0.20602800001156896,82.48543502051947,0.6753678276636134,242,13.337533935974504,1.2770912516011383,35,-6.408360314725338e-05,7.543630750797057,1.50800249191127,27,-8.257897532639026e-05,18.107219151605577,1.1320094961199059,56558.11941586461,90,2.6346938176690364,medium
47.74856452100333,784.050210561625,1109.277517201846,0.9449152542372882,1.4114336348371856,1.2565822784810126,0.784050210561625,0.63,7.03,0.1754802677436032,0.3071274256510192,3693.141537334701,3.5410023933814005,152.81238420176254,0.3508628192202142,96,12.562527203630474,1.2077979534694392,32,5.975463343258435e-05,6.870326539044641,1.0021321352982264,25,7.576516037830495e-05,17.895271987798676,0.6972379743472817,66737.83683108381,89,2.693943299833573,medium
47.49605876630999,734.7517386322772,1082.1527009092138,0.9319148936170213,1.4709093640393802,1.2632627118644069,0.7347517386322773,0.62,4.65,0.19683463462253364,0.42470528560466914,6284.732763135504,2.363052609334605,138.72971330333877,0.4577019686482862,230,12.571828478999059,0.6769705832495806,43,-8.765996526476508e-07,6.887720778252969,0.7231815977753387,28,-1.931194240527834e-05,17.232536670427734,0.3349170498378798,67562.36458152533,85,2.7545338099214227,medium
